# Ellefsen, K. J., Cheng, C. H., & Schmitt, D. P. (1988). Acoustic Logging
# Guided Waves In Transversely Isotropic Formations. MIT Earth Resources
# Laboratory. https://dspace.mit.edu/handle/1721.1/75100
# fig 2, flexural wave, PHASE velocity (transversely isotropic, hard).
#
# Traced at 400 dpi; axis calibration from the panel frame and ticks only
# (velocity 1.2-1.8 km/s hard / 1.1-1.5 km/s soft, frequency 0-20 kHz).
# Converted as slowness = 1 / (v_km_s * 1000).
#
# NOT SCOREABLE YET -- see pending/README.md. The report states no elastic
# constants (deferred to Thomsen 1986), no borehole radius and no fluid
# properties, so the model curve cannot be computed.
#
# freq_hz, slowness_s_per_m
1500.0,0.000563379
1750.0,0.000563389
2000.0,0.000563402
2250.0,0.000563417
2500.0,0.000563427
2750.0,0.000563449
3000.0,0.000563449
3250.0,0.000563466
3500.0,0.000564271
3750.0,0.000567138
4000.0,0.000571440
4250.0,0.000576822
4500.0,0.000585256
4750.0,0.000593773
5000.0,0.000602763
5250.0,0.000612027
5500.0,0.000619828
5750.0,0.000627279
6000.0,0.000634110
6250.0,0.000639662
6500.0,0.000645089
6750.0,0.000650892
7000.0,0.000656786
7250.0,0.000660524
7500.0,0.000663945
7750.0,0.000667993
8000.0,0.000668673
8250.0,0.000670053
8500.0,0.000673663
8750.0,0.000677517
9000.0,0.000681251
9250.0,0.000685158
9500.0,0.000688630
9750.0,0.000690785
10000.0,0.000691827
10250.0,0.000693386
10500.0,0.000694779
10750.0,0.000696281
11000.0,0.000697744
11250.0,0.000698805
11500.0,0.000699533
11750.0,0.000700506
12000.0,0.000700800
12250.0,0.000700893
12500.0,0.000701102
12750.0,0.000701257
13000.0,0.000701435
13250.0,0.000701603
13500.0,0.000701775
13750.0,0.000701945
14000.0,0.000702116
14250.0,0.000702287
14500.0,0.000702731
14750.0,0.000703005
15000.0,0.000703369
15250.0,0.000704030
15500.0,0.000704503
15750.0,0.000705291
16000.0,0.000705933
16250.0,0.000706654
16500.0,0.000707377
16750.0,0.000708099
17000.0,0.000708824
17250.0,0.000709549
17500.0,0.000710276
17750.0,0.000711004
18000.0,0.000711734
18250.0,0.000712417
18500.0,0.000712452
18750.0,0.000712487
19000.0,0.000712421
19250.0,0.000712393
19500.0,0.000712338
